
Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
0 FRACTURE_1_S 0 -0.991653 0.0909815 0 2.65273e+009 4.35445e+007 -2.43146e+007 3.3002e+008 -2.22285 0.694471
0 FRACTURE_1_S 1 -0.956547 0.275029 0 2.63442e+009 4.31407e+007 -3.40501e+007 3.25554e+008 -2.20963 0.974252
0 FRACTURE_1_S 2 -0.883392 0.457652 0 2.65645e+009 4.02842e+007 -4.72097e+007 3.31138e+008 -2.04027 1.33223
0 FRACTURE_1_S 3 -0.772051 0.627158 0 2.66223e+009 4.70902e+007 -6.65877e+007 3.32882e+008 -2.3548 1.85206
0 FRACTURE_1_S 4 -0.627158 0.772051 0 2.64501e+009 3.26475e+007 -9.99733e+007 3.29241e+008 -1.63585 2.76465
0 FRACTURE_1_S 5 -0.457652 0.883392 0 2.60566e+009 2.72645e+007 -1.3961e+008 3.20726e+008 -1.36996 3.844
0 FRACTURE_1_S 6 -0.275029 0.956547 0 2.53866e+009 -1.65053e+006 -1.909e+008 3.06655e+008 0.0845794 5.29064
0 FRACTURE_1_S 7 -0.0909815 0.991653 0 2.48488e+009 -5.63895e+007 -2.37751e+008 2.96651e+008 2.81194 6.43152
0 FRACTURE_1_S 8 0.0909815 0.991653 0 2.34179e+009 -1.27743e+008 -2.67166e+008 2.66748e+008 6.38237 7.30014
0 FRACTURE_1_S 9 0.275029 0.956547 0 2.19109e+009 -2.29756e+008 -2.49813e+008 2.35316e+008 11.5261 7.00736
0 FRACTURE_1_S 10 0.457652 0.883392 0 2.07889e+009 -3.17485e+008 -1.80575e+008 2.11384e+008 16.1858 5.30369
0 FRACTURE_1_S 11 0.627158 0.772051 0 2.01138e+009 -3.7512e+008 -6.23109e+007 1.96722e+008 19.8032 1.96337
0 FRACTURE_1_S 12 0.772051 0.627158 0 2.01481e+009 -3.70665e+008 6.43299e+007 1.97246e+008 19.58 -2.02546
0 FRACTURE_1_S 13 0.883392 0.457652 0 2.07676e+009 -3.17167e+008 1.79883e+008 2.10928e+008 16.1891 -5.29021
0 FRACTURE_1_S 14 0.956547 0.275029 0 2.19178e+009 -2.30349e+008 2.49268e+008 2.35438e+008 11.5514 -6.99083
0 FRACTURE_1_S 15 0.991653 0.0909815 0 2.38662e+009 -1.35916e+008 2.63883e+008 2.76568e+008 6.66239 -7.09089
