
Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
600 FRACTURE0_S 0 -192.087 -104.593 99.5128 -3270.19 -3911.35 -1941.95 0.000389636 62.295 22.2457
600 FRACTURE0_S 1 -192.483 -104.878 103.971 -3574.94 -2390.09 -3203.84 0.000511362 47.0382 33.8485
600 FRACTURE0_S 2 -194.636 -106.429 107.588 -3772.33 -364.472 -3744.8 0.000581363 11.8666 43.6761
600 FRACTURE0_S 3 -197.968 -108.828 109.394 -3886.2 1833.13 -3489.22 0.000554316 -39.9152 36.9523
600 FRACTURE0_S 4 -201.586 -111.434 108.906 -3789.71 3627.89 -2387.84 0.000436727 -58.9711 25.7614
600 FRACTURE0_S 5 -204.521 -113.547 106.253 -3560.19 4610.2 -546.133 0.000337193 -69.2147 7.89118
600 FRACTURE0_S 6 -205.986 -114.603 102.147 -3287.9 4066.35 1481.41 0.000343406 -65.0087 -18.4752
600 FRACTURE0_S 7 -205.589 -114.317 97.6884 -2954.04 2305.38 2912.48 0.000431663 -48.1909 -33.2562
600 FRACTURE0_S 8 -203.437 -112.767 94.0715 -2821.02 -59.4459 3245.6 0.000435227 2.49545 -44.7735
600 FRACTURE0_S 9 -200.105 -110.367 92.2655 -2789.06 -2249.92 2704.94 0.00037964 49.1383 -32.7467
600 FRACTURE0_S 10 -196.487 -107.762 92.7544 -2744.01 -3842.93 1489.61 0.000317401 64.5377 -19.2137
600 FRACTURE0_S 11 -193.552 -105.648 95.4071 -3017.4 -4493.53 -222.299 0.000310678 69.8445 3.6035
600 FRACTURE10_S 0 -84.0523 -101.569 113.187 -13614.9 -24019.9 -30447.3 0.0471163 48.1261 33.2902
600 FRACTURE10_S 1 -83.6401 -100.545 119.173 -13585.9 -1190.84 -37183.4 0.0571392 4.27711 44.5958
600 FRACTURE10_S 2 -84.4009 -102.435 124.91 -13301.5 23259 -33557.5 0.0547901 -45.5809 34.5573
600 FRACTURE10_S 3 -86.1308 -106.732 128.859 -13180.6 42076.1 -20143.6 0.0438236 -62.663 21.7936
600 FRACTURE10_S 4 -88.3663 -112.286 129.963 -12525.7 49168.9 35.6679 0.0369533 -70 -0.0565241
600 FRACTURE10_S 5 -90.5084 -117.608 127.926 -12433.7 41259.8 19328.9 0.0414554 -62.8759 -21.5249
600 FRACTURE10_S 6 -91.9831 -121.271 123.293 -12674.5 23004.5 31995 0.0503788 -46.3111 -34.2075
600 FRACTURE10_S 7 -92.3953 -122.295 117.306 -12367.4 52.9984 35390.8 0.0517429 -0.209183 -44.982
600 FRACTURE10_S 8 -91.6345 -120.405 111.57 -12574.5 -20699.1 30315 0.0445144 45.2809 -34.698
600 FRACTURE10_S 9 -89.9046 -116.108 107.62 -12450.7 -36132 18101.7 0.0334918 62.2017 -22.3579
600 FRACTURE10_S 10 -87.6691 -110.554 106.517 -13328.8 -43526 1617.27 0.0290662 69.9102 -2.75202
600 FRACTURE10_S 11 -85.527 -105.232 108.554 -13451.5 -38901.8 -16127.9 0.0338774 63.9875 20.0254
600 FRACTURE11_S 0 -113.211 -124.839 73.5396 -4018.28 18591.2 -2382.25 0.00551755 -69.0969 8.43381
600 FRACTURE11_S 1 -109.971 -128.278 75.4105 -3957.34 17982.5 5380.71 0.00613885 -66.2871 -16.2136
600 FRACTURE11_S 2 -107.807 -130.575 79.3929 -4123.63 12596.7 12431.4 0.00880966 -52.7305 -30.601
600 FRACTURE11_S 3 -107.298 -131.115 84.4198 -4026.09 2973.18 16231.8 0.0110195 -19.9961 -42.3513
600 FRACTURE11_S 4 -108.581 -129.754 89.1442 -3969.31 -8016.25 15295 0.0106465 39.8654 -36.9711
600 FRACTURE11_S 5 -111.312 -126.855 92.3003 -3624.49 -16508.6 9747.7 0.00809105 60.352 -24.4093
600 FRACTURE11_S 6 -114.759 -123.196 93.0423 -3651.11 -19875.9 1519.91 0.00613391 69.6468 -5.37439
600 FRACTURE11_S 7 -117.998 -119.758 91.1715 -3415.78 -18035.4 -6336.92 0.00663087 65.2678 18.0495
600 FRACTURE11_S 8 -120.163 -117.46 87.1891 -3131.3 -11283.6 -12194.3 0.00808921 51.116 31.6104
600 FRACTURE11_S 9 -120.671 -116.92 82.1622 -2786.75 -2394.45 -14667.9 0.00897564 18.2684 42.6661
600 FRACTURE11_S 10 -119.389 -118.282 77.4378 -3109.52 6773.25 -13628.7 0.0083745 -38.7634 37.3789
600 FRACTURE11_S 11 -116.658 -121.181 74.2817 -3631.92 14356.1 -9286.12 0.00671263 -59.2009 25.5455
600 FRACTURE12_S 0 10.9201 -93.0121 108.613 -5562.38 -3986.33 9711.34 0.00413899 34.8145 -38.7128
600 FRACTURE12_S 1 13.5102 -91.6447 112.007 -5640.86 -9067.67 7397.03 0.00351719 55.8712 -28.382
600 FRACTURE12_S 2 14.2526 -91.2528 116.411 -5234.75 -12697.3 2992.17 0.00283419 67.454 -13.6753
600 FRACTURE12_S 3 12.9483 -91.9414 120.645 -4728.84 -12748.8 -2868.86 0.00282433 67.638 13.2146
600 FRACTURE12_S 4 9.94686 -93.5259 123.574 -4484.91 -8539.63 -7827.38 0.00364575 53.99 29.7552
600 FRACTURE12_S 5 6.05246 -95.5818 124.413 -4339.4 -1512.29 -10092.6 0.00424296 17.0554 42.8758
600 FRACTURE12_S 6 2.30863 -97.5582 122.938 -4251.53 5677.61 -8896.9 0.00376273 -43.9152 35.3174
600 FRACTURE12_S 7 -0.281476 -98.9256 119.544 -4360.61 10735.2 -5039.13 0.00281057 -62.8566 21.5495
600 FRACTURE12_S 8 -1.02384 -99.3175 115.14 -4836.6 12540.6 57.0631 0.00240399 -69.9986 -0.352637
600 FRACTURE12_S 9 0.28045 -98.6289 110.907 -5157.58 11118.6 4992.97 0.00291951 -63.2774 -21.0029
600 FRACTURE12_S 10 3.28191 -97.0444 107.978 -5496.31 7196.38 8476.75 0.00376004 -49.524 -32.533
600 FRACTURE12_S 11 7.17631 -94.9885 107.138 -5456.1 1705.65 10143.1 0.00429469 -18.7027 -42.5887
600 FRACTURE13_S 0 225.618 -62.4886 72.2936 -1743.1 -980.527 -790.97 4.05416e-005 56.0448 28.2479
