Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
0 FRACTURE_1_S 0 -0.991653 0.0909815 0 2.80724e+009 8.27665e+007 -3.42605e+008 3.84395e+008 -3.53862 7.89608
0 FRACTURE_1_S 1 -0.956547 0.275029 0 2.94259e+009 1.08775e+007 -1.79298e+008 4.09907e+008 -0.485258 4.35609
0 FRACTURE_1_S 2 -0.883392 0.457652 0 2.95036e+009 7.3443e+006 -9.17501e+007 4.09084e+008 -0.33677 2.31694
0 FRACTURE_1_S 3 -0.772051 0.627158 0 2.9589e+009 -1.62233e+007 -4.51232e+007 4.10663e+008 0.749991 1.15797
0 FRACTURE_1_S 4 -0.627158 0.772051 0 2.95069e+009 -2.32398e+006 -5.37595e+007 4.08483e+008 0.108166 1.38405
0 FRACTURE_1_S 5 -0.457652 0.883392 0 2.92786e+009 838337 -8.54681e+007 4.02742e+008 -0.0389331 2.18519
0 FRACTURE_1_S 6 -0.275029 0.956547 0 2.9422e+009 -1.13471e+007 -1.78711e+008 4.09775e+008 0.506255 4.34285
0 FRACTURE_1_S 7 -0.0909815 0.991653 0 2.83593e+009 -7.9495e+007 -3.42422e+008 3.91946e+008 3.37447 7.83376
0 FRACTURE_1_S 8 0.0909815 0.991653 0 2.51123e+009 -2.33695e+008 -4.76396e+008 3.26536e+008 9.78809 10.8135
0 FRACTURE_1_S 9 0.275029 0.956547 0 2.07077e+009 -4.24322e+008 -4.47172e+008 2.34439e+008 18.7344 11.0924
0 FRACTURE_1_S 10 0.457652 0.883392 0 1.76832e+009 -5.57616e+008 -2.95678e+008 1.72079e+008 26.6111 8.37745
0 FRACTURE_1_S 11 0.627158 0.772051 0 1.63634e+009 -6.22194e+008 -1.01697e+008 1.44952e+008 32.0417 3.29959
0 FRACTURE_1_S 12 0.772051 0.627158 0 1.63181e+009 -6.21389e+008 1.01411e+008 1.44204e+008 32.0713 -3.29817
0 FRACTURE_1_S 13 0.883392 0.457652 0 1.75079e+009 -5.61982e+008 2.90838e+008 1.69063e+008 26.9573 -8.30125
0 FRACTURE_1_S 14 0.956547 0.275029 0 2.07036e+009 -4.2386e+008 4.47714e+008 2.34403e+008 18.7175 -11.106
0 FRACTURE_1_S 15 0.991653 0.0909815 0 2.49133e+009 -2.3248e+008 4.72974e+008 3.21436e+008 9.81103 -10.818
0 FRACTURE_1_S 16 0.991653 -0.0909815 0 2.84989e+009 8.3472e+007 3.44372e+008 3.95863e+008 -3.51989 -7.83074
0 FRACTURE_1_S 17 0.956547 -0.275029 0 2.94211e+009 1.2765e+007 1.79703e+008 4.09795e+008 -0.568964 -4.36322
